Order,Track Name,6-Letter Code,Track Type
1,[Snap] Best Use of Hardware Integration with Spectacles,SNAPHQ,Sponsor Track
2,[Snap] Best Use of Snap Cloud,SNAPNC,Sponsor Track
3,[Snap] Best Use of Spatial AI,SNAPSA,Sponsor Track
4,[Agog] EcoDreaming: XR for Collective Futures,AGOGEC,Sponsor Track
5,[Lureo] Location-based Storytelling for Creators of All Levels,LUREOS,Sponsor Track
6,[Meta] Best Implementation of Hand Tracking on Meta Quest,METAHQ,Sponsor Track
7,[Meta] Best Use of AI In A Mixed Reality App on Meta Quest,METAAI,Sponsor Track
8,[Meta] Best Use of the Meta Wearables Device Access Toolkit Showcasing Hands-free Everyday Use Cases,METAWA,Sponsor Track
9,[Qualcomm] Best XR Experience,QUALXR,Sponsor Track
10,[Qualcomm] Best AR Utility,QUALAU,Sponsor Track
11,[Qualcomm] Best use of Edge AI For Hardware Hack,QUALEH,Sponsor Track
12,[Qualcomm] Best Use of Arduino App Lab For Hardware Hack,QUALDA,Sponsor Track
13,[DeoVR] DeoVR Immersive Media Lab: From Capture to Experience,DEOVRE,Sponsor Track
14,[Google] Best Android XR App with Gemini Live API,GOOGLA,Sponsor Track
15,[Raven] Best App for Raven Glass,RAVENG,Sponsor Track
16,[STYLY] Best Use of STYLY,STYLYU,Sponsor Track
17,[Philipp Neuhaus] Standing on the Shoulders of Sustainability,PHILSS,Sponsor Track
18,[Half League] Best Use of AR for Urban Portals and Spatial Overlays,HALFLA,Sponsor Track
19,Immersion League Continuity Track,IMMERL,Special Track
20,Game Prototyping Track,GAMEPT,Special Track
21,XR for MIT Math and Physics Education Track,MITMPX,Special Track
22,Enabling Global Disaster Resilience,UNICCD,Special Track
23,XR Health and Wellness Design and Research Track,FLOWXH,Special Track
24,Best Design (Community Hack),COMDES,Special Track
25,Best Execution (Community Hack),COMEXE,Special Track
